German Word,English Meaning,German Example Sentence,English Translation
die Unstimmigkeit,discrepancy / disagreement,Es gab einige Unstimmigkeiten im Vertrag.,There were some discrepancies in the contract.
mitteilen,to inform / announce,Der Chef teilte uns die Neuigkeiten gestern mit.,The boss informed us of the news yesterday.
der Tonfall,tone of voice,Sein Tonfall klang am Telefon etwas genervt.,His tone of voice sounded a bit annoyed on the phone.
die Absage / Zusage,rejection / acceptance,Ich warte noch auf eine Zusage für den Job.,I am still waiting for an acceptance for the job.
die Bürokommunikation,office communication,Moderne Bürokommunikation ist sehr effizient.,Modern office communication is very efficient.
zufrieden sein mit,to be satisfied with,Sind Sie mit der Qualität unserer Arbeit zufrieden?,Are you satisfied with the quality of our work?
die Begeisterung,enthusiasm,Ihre Begeisterung für Musik ist wirklich ansteckend.,Her enthusiasm for music is really contagious.
enttäuscht,disappointed,Er war sehr enttäuscht von dem Ergebnis.,He was very disappointed with the result.
mitfühlend,compassionate,Sie ist eine sehr mitfühlende Person.,She is a very compassionate person.
eifersüchtig / neidisch,jealous / envious,Er ist eifersüchtig auf den Erfolg seines Kollegen.,He is jealous of his colleague's success.
die Übereinstimmung,agreement / consensus,Wir haben in diesem Punkt eine volle Übereinstimmung.,We have full agreement on this point.
gefühlsbetont,emotive / sentimental,Seine Rede war sehr gefühlsbetont.,His speech was very emotional.
die Krankmeldung,sick note,Die Krankmeldung muss am ersten Tag vorliegen.,The sick note must be submitted on the first day.
sich krankmelden,to call in sick,Er musste sich heute Morgen krankmelden.,He had to call in sick this morning.
einen Arzt rufen,to call a doctor,Wir mussten sofort einen Arzt rufen.,We had to call a doctor immediately.
Schmerzen aushalten,to endure pain,Ich kann die Schmerzen kaum aushalten.,I can hardly endure the pain.
die Blutung,bleeding,Stoppen Sie die Blutung mit einem Verband.,Stop the bleeding with a bandage.
der Herzinfarkt,heart attack,Er musste nach einem Herzinfarkt im Krankenhaus bleiben.,He had to stay in the hospital after a heart attack.
verletzlich,vulnerable,Jeder Mensch hat eine verletzliche Seite.,Every human has a vulnerable side.
die Pflichtverletzung,breach of duty,Die Kündigung erfolgte aufgrund einer schweren Pflichtverletzung.,The termination occurred due to a serious breach of duty.
die Grundschule,primary school,In Deutschland besuchen Kinder vier Jahre lang die Grundschule.,In Germany children attend primary school for four years.
das Gymnasium,grammar school,Das Gymnasium bereitet die Schüler auf das Universitätsstudium vor.,The grammar school prepares students for university studies.
das Abitur,school-leaving exam,Nach dem Abitur möchte sie Medizin studieren.,After the Abitur she wants to study medicine.
der Bachelor,bachelor's degree,Er hat seinen Bachelor in Ingenieurwesen gemacht.,He completed his bachelor's degree in engineering.
der Master,master's degree,Für diese Führungsposition wird ein Master erwartet.,A master's degree is expected for this management position.
die duale Ausbildung,dual training,Die duale Ausbildung verbindet Theorie in der Schule mit Praxis im Betrieb.,Dual training combines theory at school with practice in the company.
die Fortbildung,further training,Unsere Firma bietet regelmäßige Fortbildungen an.,Our company offers regular professional development.
die Weiterbildung,continuing education,Eine Weiterbildung verbessert Ihre Chancen auf dem Arbeitsmarkt.,Further training improves your chances on the job market.
die Meisterprüfung,master craftsman's examination,Er hat gestern seine Meisterprüfung erfolgreich bestanden.,He successfully passed his master craftsman's examination yesterday.
das Zeugnis,report / reference,Das Arbeitszeugnis war sehr positiv.,The job reference was very positive.
sich selbstständig machen,to become self-employed,Nach der Ausbildung möchte er sich selbstständig machen.,After the training he wants to become self-employed.
die Schwäche,weakness,Ungeduld ist manchmal meine größte Schwäche.,Impatience is sometimes my greatest weakness.
die Stärke,strength,Zu meinen Stärken gehört meine Teamfähigkeit.,My ability to work in a team is one of my strengths.
belastbar,resilient,In stressigen Situationen müssen Sie sehr belastbar sein.,In stressful situations you must be very resilient.
flexibel,flexible,Sie müssen flexibel sein was die Arbeitszeiten angeht.,You must be flexible regarding working hours.
kreativ,creative,Für das Marketing brauchen wir kreative Köpfe.,We need creative minds for marketing.
selbstbewusst,self-assured,Sie trat im Vorstellungsgespräch sehr selbstbewusst auf.,She appeared very self-assured in the interview.
teamfähig,capable of teamwork,Sind Sie teamfähig oder arbeiten Sie lieber allein?,Are you capable of teamwork or do you prefer working alone?
verantwortungsbewusst,responsible,Er geht sehr verantwortungsbewusst mit den Firmendaten um.,He handles company data very responsibly.
die Fähigkeit,ability / skill,Sie besitzt die Fähigkeit komplexe Dinge einfach zu erklären.,She possesses the ability to explain complex things simply.
das Selbstvertrauen,self-confidence,Sport kann dabei helfen das Selbstvertrauen zu stärken.,Sport can help to strengthen self-confidence.
die Berechtigung,authorisation / eligibility,Haben Sie die Berechtigung diesen Stapler zu fahren?,Do you have the authorisation to drive this forklift?
der/die Vorgesetzte,superior / manager,Mein Vorgesetzter ist sehr verständnisvoll.,My superior is very understanding.
vertraglich vereinbaren,to agree by contract,Der Bonus wurde vertraglich vereinbart.,The bonus was agreed by contract.
die Gleichberechtigung,equal rights,Wir setzen uns für Gleichberechtigung am Arbeitsplatz ein.,We advocate for equal rights in the workplace.
den Vertrag verlängern,to extend the contract,Wir möchten Ihren Vertrag gerne verlängern.,We would like to extend your contract.
das Gesellschaft,society,Wir leben in einer modernen Gesellschaft.,We live in a modern society.
die Solidarität,solidarity,In Krisenzeiten ist gesellschaftliche Solidarität besonders wichtig.,Social solidarity is particularly important in times of crisis.
der soziale Aufstieg,social advancement,Bildung ist oft der Schlüssel für einen sozialen Aufstieg.,Education is often the key to social advancement.
die Integration,integration,Die Integration neuer Mitarbeiter ist sehr wichtig.,The integration of new employees is very important.
die Sozialleistungen,social benefits,Die Firma bietet attraktive Sozialleistungen.,The company offers attractive social benefits.
zukunftsorientiert,future-oriented,Wir sind ein zukunftsorientiertes Unternehmen.,We are a future-oriented company.
der Lebensraum,habitat,Wir müssen mehr tun um den natürlichen Lebensraum zu schützen.,We must do more to protect the natural habitat.
die Hungersnot,famine,Der Bezirk erlitt 1770 eine schwere Hungersnot.,The district suffered a severe famine in 1770.
die Dürre,drought,Dürre führte zum Ausfall der jährlichen Reisernte.,Drought caused the annual rice harvest to fail.
ausbrechen,to erupt,Der Vulkan brach zwischen 1988 und 1995 dreimal aus.,The volcano erupted three times between 1988 and 1995.
die Lebenserwartung,life expectancy,Die Lebenserwartung für Frauen in Großbritannien liegt jetzt über 82 Jahren.,Life expectancy for women in the UK is now over 82 years.
