German Word,English Meaning,German Example Sentence,English Translation
das Arbeitsverhältnis,employment relationship,Das Arbeitsverhältnis ist unbefristet.,The employment relationship is permanent.
das Betriebsgeheimnis,trade secret,Sie darf keine Betriebsgeheimnisse verraten.,She is not allowed to reveal trade secrets.
die Gefahrenstelle,danger point,Die Baustelle wurde als Gefahrenstelle markiert.,The construction site was marked as a danger point.
die Immobilienbranche,real estate sector,Die Preise in der Immobilienbranche steigen weiter.,Prices in the real estate sector continue to rise.
die IT-Branche,IT industry,Die IT-Branche wächst sehr schnell.,The IT industry is growing very fast.
die Metallindustrie,metal industry,Die Metallindustrie ist ein wichtiger Arbeitgeber in der Region.,The metal industry is an important employer in the region.
die Pharmaindustrie,pharmaceutical industry,Die Pharmaindustrie entwickelt neue Medikamente.,The pharmaceutical industry develops new medicines.
die Berufschancen (Pl.),career opportunities,Gute Englischkenntnisse verbessern Ihre Berufschancen.,Good English skills improve your career opportunities.
der Ausbildungsberuf,occupation requiring training,Tischler ist ein klassischer Ausbildungsberuf.,Carpenter is a classic occupation requiring training.
die Berufsfachschule,vocational school,Er besucht zweimal pro Woche die Berufsfachschule.,He attends vocational school twice a week.
das Berufsinformationszentrum (BIZ),Vocational Information Centre,Im BIZ können Sie sich über alle Berufe informieren.,You can find out about all professions at the BIZ.
das Berufskolleg,vocational college,Das Berufskolleg bietet verschiedene Abschlüsse an.,The vocational college offers various degrees.
das Berufsvorbereitungsjahr,vocational preparation year,Das Berufsvorbereitungsjahr hilft bei der Orientierung.,The vocational preparation year helps with orientation.
der erlernte Beruf,learned profession,Er arbeitet nicht mehr in seinem erlernten Beruf.,He no longer works in his learned profession.
der Aushilfsjob,temporary job,Er sucht einen Aushilfsjob für die Ferien.,He is looking for a temporary job for the holidays.
die Ausschreibung,job advertisement,Die Ausschreibung klang sehr interessant.,The job advertisement sounded very interesting.
die Jobbörse,job exchange,In der Online-Jobbörse finden Sie viele Angebote.,You will find many offers in the online job exchange.
jobben,to work on the side,Viele Studenten müssen nebenbei jobben.,Many students have to work on the side.
beruflich vorwärtskommen,to advance professionally,"Er wechselte die Firma, um beruflich vorwärtszukommen.",He changed companies to advance professionally.
die feste Arbeit,steady job,Endlich hat er eine feste Arbeit gefunden.,"Finally, he found a steady job."
der Anlagenmechaniker,plant mechanic,Der Anlagenmechaniker wartet die Maschinen.,The plant mechanic maintains the machines.
Karriere machen,to make a career,Sie will unbedingt Karriere machen.,She really wants to make a career.
Sachen abarbeiten,to process things,Ich muss erst diese Liste abarbeiten.,I have to process this list first.
ein hohes Arbeitspensum haben,to have a high workload,Wir haben derzeit ein sehr hohes Arbeitspensum.,We currently have a very high workload.
flexible Arbeitszeiten,flexible working hours,Eltern schätzen flexible Arbeitszeiten.,Parents appreciate flexible working hours.
feste Arbeitszeiten,fixed working hours,Ich bevorzuge feste Arbeitszeiten.,I prefer fixed working hours.
die Buchungsbestätigung,booking confirmation,Ich habe die Buchungsbestätigung per E-Mail erhalten.,I received the booking confirmation via email.
die Arbeitsplatzbeschreibung,job description,Die Aufgaben stehen genau in der Arbeitsplatzbeschreibung.,The tasks are listed exactly in the job description.
der/die Vorarbeiter/-in,foreman,Der Vorarbeiter teilt die Schichten ein.,The foreman schedules the shifts.
Arbeitsabläufe regeln,to regulate workflows,Neue Software soll die Arbeitsabläufe besser regeln.,New software is supposed to regulate workflows better.
Unterlagen zusammenstellen,to compile documents,Ich muss noch die Unterlagen für das Meeting zusammenstellen.,I still have to compile the documents for the meeting.
der Aussteller,exhibitor,Viele Aussteller präsentieren ihre Neuheiten auf der Messe.,Many exhibitors present their novelties at the trade fair.
das Start-up-Unternehmen,start-up,Das Start-up-Unternehmen sucht nach Investoren.,The start-up is looking for investors.
gezielte Fragen stellen,to ask specific questions,"Stellen Sie gezielte Fragen, um das Problem zu verstehen.",Ask specific questions to understand the problem.
Rückfragen stellen,to ask questions (follow-up),"Zögern Sie nicht, Rückfragen zu stellen.",Do not hesitate to ask follow-up questions.
bis an die Grenzen arbeiten,to work to one’s limits,"Das Team hat bis an die Grenzen gearbeitet, um das Projekt fertigzustellen.",The team worked to their limits to finish the project.
Arbeitsweisen überprüfen,to review working methods,Wir sollten unsere Arbeitsweisen regelmäßig überprüfen.,We should regularly review our working methods.
Qualität sicherstellen,to assure quality,Wie können wir die Qualität langfristig sicherstellen?,How can we assure quality in the long term?
die Mitarbeiterbesprechung,staff meeting,Jeden Montag findet eine Mitarbeiterbesprechung statt.,A staff meeting takes place every Monday.
die Arbeitsunfähigkeit,incapacity to work,Die Arbeitsunfähigkeit muss vom Arzt bestätigt werden.,Incapacity to work must be confirmed by a doctor.
die betriebliche Notwendigkeit,operational necessity,Urlaub kann bei betrieblicher Notwendigkeit verweigert werden.,Leave can be refused in case of operational necessity.
die Arbeitsschutzschuhe (Pl.),protective shoes,Im Lager sind Arbeitsschutzschuhe Pflicht.,Protective shoes are mandatory in the warehouse.
die Berufsgruppe,group of professions,Diese Regelung gilt für alle Berufsgruppen.,This regulation applies to all groups of professions.
die Sammelstelle,assembly point,Bei Feueralarm treffen wir uns an der Sammelstelle.,"In case of fire alarm, we meet at the assembly point."
der Minijob,mini-job,Wir suchen eine Aushilfe auf Minijob-Basis.,We are looking for temporary help on a mini-job basis.
die Zeitarbeit,temporary employment,Er fand den Einstieg über eine Zeitarbeitsfirma.,He found his entry via a temporary employment agency.
aus betrieblichen Gründen,for operational reasons,Der Urlaub wurde aus betrieblichen Gründen abgelehnt.,Leave was refused for operational reasons.
die betriebsbedingte Kündigung,redundancy,Wegen der Krise gab es betriebsbedingte Kündigungen.,"Due to the crisis, there were redundancies."
im Homeoffice arbeiten,to work from home,Darf ich morgen im Homeoffice arbeiten?,May I work from home tomorrow?
die regelmäßige Arbeitszeit,regular working hours,Die regelmäßige wöchentliche Arbeitszeit beträgt 40 Stunden.,The regular weekly working hours are 40 hours.
sich arbeitssuchend melden,to register as a jobseeker,Sie müssen sich drei Monate vor Ende des Vertrags arbeitssuchend melden.,You must register as a jobseeker three months before the end of the contract.
die Arbeitslosenversicherung,unemployment insurance,Die Arbeitslosenversicherung ist eine Pflichtversicherung.,Unemployment insurance is a mandatory insurance.
die Bestätigung,the confirmation,Ich warte noch auf die Bestätigung meiner Buchung.,I am still waiting for the confirmation of my booking.
abbestellen,to cancel (a sub/order),Ich habe die Zeitung abbestellt.,I canceled the newspaper subscription.
darstellen,to represent / portray,Der Schauspieler hat die Rolle sehr überzeugend dargestellt.,The actor portrayed the role very convincingly.
verstellen (Uhr),to adjust / move (clock),Im Frühling wird die Uhr um eine Stunde vorgestellt.,In spring the clock is set forward by one hour.
der Aussteller,the exhibitor / issuer,Die Aussteller auf der Messe präsentieren ihre neuesten Produkte.,The exhibitors at the trade fair are presenting their latest products.
die ausgeschriebene Stelle,Advertised position,Ich interessiere mich für die ausgeschriebene Stelle als Manager.,I am interested in the advertised position as manager.
der Arbeitsablauf,Workflow,Wir müssen den Arbeitsablauf im Büro verbessern.,We must improve the workflow in the office.
die Zweigstelle,Branch (office),Die Bank hat eine neue Zweigstelle in unserem Viertel eröffnet.,The bank has opened a new branch in our neighborhood.
Arbeitsbedingungen,Working conditions,Die Gewerkschaft fordert bessere Arbeitsbedingungen.,The labor union demands better working conditions.
feststellen,To determine / To realize,Der Arzt konnte keine Krankheit feststellen.,The doctor could not determine any illness.
aufstellen,To establish / To set up,Wir müssen neue Regeln für das Team aufstellen.,We must set up new rules for the team.
ausarbeiten,To elaborate / To work out,Können Sie den Plan bis morgen genauer ausarbeiten?,Can you work out the plan in more detail by tomorrow?
gegenüberstellen,To compare / To contrast,Man muss die Vor- und Nachteile gegenüberstellen.,One has to contrast the pros and cons.
wiederherstellen,To restore / To recover,Er konnte die gelöschten Daten wiederherstellen.,He was able to restore the deleted data.
das Arbeitsverhältnis,Employment relationship,Das Arbeitsverhältnis wurde im gegenseitigen Einvernehmen beendet.,The employment relationship was ended by mutual agreement.
die Einarbeitung,Orientation / Onboarding,Die Einarbeitung neuer Mitarbeiter dauert meist zwei Wochen.,The orientation of new employees usually takes two weeks.
der Betriebsrat,Works council,Der Betriebsrat setzt sich für die Rechte der Angestellten ein.,The works council advocates for the rights of the employees.
