german_words,meaning_in_english,sentence,sentence_meaning
Der Richtungswechsel,Change of direction,Der Richtungswechsel in der Politik war überraschend.,The change of direction in politics was surprising.
Der stellenwert,The importance,Der Stellenwert von Bildung in unserer Gesellschaft ist sehr hoch.,The importance of education in our society is very high.
Der studiengang,The course of study,Der Studiengang Informatik ist sehr beliebt.,The computer science degree program is very popular.
Die Aufsteigchance,The chance of promotion,In diesem Unternehmen gibt es gute Aufstiegschancen.,There are good opportunities for advancement in this company.
Die auszeit,The timeout,"Die Auszeit hat mir geholfen, mich zu erholen und neue Energie zu tanken.",The break helped me to recover and regain energy.
Die Doppelbelastung,The double burden,Die Doppelbelastung von Arbeit und Studium kann sehr anstrengend sein.,The double burden of work and study can be very stressful.
Die fine kürfstliche lebensart,The fine princely way of life,Die feine künstlerische Lebensart ist in dieser Stadt sehr ausgeprägt.,The fine artistic lifestyle is very pronounced in this city.
Die Laufbahn,The career,Seine Laufbahn als Schauspieler begann in jungen Jahren.,His career as an actor began at a young age.
Die Mobilität,The mobility,Die Mobilität in der Stadt wird durch ein gut ausgebautes Verkehrsnetz gewährleistet.,Mobility in the city is ensured by a well-developed transport network.
Die Promotion,The promotion,Die Promotion in Physik war eine große Herausforderung für ihn.,The PhD in physics was a big challenge for him.
Die probanden,The test subjects,Die Probanden für die Studie wurden sorgfältig ausgewählt.,The test subjects for the study were carefully selected.
Die stoßstange,The bumper,Die Stoßstange des Autos wurde bei dem Unfall beschädigt.,The car's bumper was damaged in the accident.
Die Zulassungs voraussetzung,The admission requirement,Die Zulassungsvoraussetzungen für das Studium sind sehr streng.,The admission requirements for the study are very strict.
Ein abgebrochener Studiengang,A discontinued course of study,"Ein abgebrochener Studiengang ist kein Hindernis, um später erfolgreich zu sein.",A discontinued course of study is no obstacle to being successful later.
Ein bunter Lebenslauf,A colorful resume,Ein bunter Lebenslauf kann viele verschiedene Erfahrungen und Fähigkeiten widerspiegeln.,A colorful resume can reflect many different experiences and skills.
Ein nur massig,Only moderately,Ein nur mäßig erfolgreicher Versuch kann immer noch wertvolle Lektionen liefern.,A moderately successful attempt can still provide valuable lessons.
Einheillig wiedersprechen,Unanimously contradict,Die Experten schienen ihm einhellig zu widersprechen.,The experts seemed to unanimously contradict him.
Ebenso zentral wie selbstverstandlich,Just as central as self-evident,Respekt ist in unserer Gesellschaft ebenso zentral wie selbstverständlich.,Respect is as central as it is self-evident in our society.
Enthält,Contains,Dieses Buch enthält viele nützliche Informationen.,This book contains a lot of useful information.
Erfreuen sich,Enjoy,Seine Bücher erfreuen sich großer Beliebtheit.,His books are very popular.
Fehler ausbügeln,Iron out errors,"Es ist wichtig, Zeit zu nehmen, um Fehler auszubügeln.",It is important to take time to iron out mistakes.
Freude schenken,Give joy,Ein einfaches Geschenk kann große Freude schenken.,A simple gift can bring great joy.
Fromt sich,Forms itself,"Er fromt sich in Geduld, um das Ziel zu erreichen.",He prays in patience to achieve the goal.
Genaue Beschreibung des berüflichen Werdegangs,Detailed description of the professional career,In seinem Lebenslauf gab er eine genaue Beschreibung seines beruflichen Werdegangs.,"In his resume, he gave a detailed description of his professional career."
Grossen Beliebtheit,Great popularity,Das Produkt erfreut sich großer Beliebtheit bei den Kunden.,The product is very popular with customers.
Handlungsanweisungen,Instructions,Die Handlungsanweisungen waren klar und präzise.,The instructions for action were clear and precise.
Herstellung,Manufacturing,Die Herstellung des Produkts erfordert viel Zeit und Sorgfalt.,The production of the product requires a lot of time and care.
Im Hinblick,In view,Im Hinblick auf die bevorstehende Prüfung sollte man gut vorbereitet sein.,"In view of the upcoming exam, one should be well prepared."
Im zweifel gilt daher,"Therefore, when in doubt","Im Zweifel gilt daher, immer die sicherste Option zu wählen.","When in doubt, therefore, always choose the safest option."
Innovationsschub,Innovation boost,Das Unternehmen erlebte einen großen Innovationsschub.,The company experienced a major innovation boost.
Klarkommen,Get along,"Es ist wichtig, mit Stress gut klarzukommen.",It is important to cope well with stress.
Plausibel,Plausible,Seine Argumente waren sehr plausibel und überzeugend.,His arguments were very plausible and convincing.
Reviedieren,Reverse,"Er musste seine Pläne revidieren, nachdem neue Informationen bekannt wurden.",He had to revise his plans after new information became known.
Ruchtungswechsel,Direction change,Ein Richtungswechsel kann manchmal eine gute Entscheidung sein.,A change of direction can sometimes be a good decision.
Schlüssig,Conclusion,Seine Argumentation war schlüssig und überzeugend.,His argumentation was conclusive and convincing.
Stark steigender Nachfrage,Strongly increasing demand,Aufgrund der stark steigenden Nachfrage wurde die Produktion erhöht.,"Due to the sharply increasing demand, production was increased."
Stolpersteine,Stumbling blocks,Auf dem Weg zum Erfolg gibt es viele Stolpersteine.,There are many stumbling blocks on the way to success.
Umgehen,Avoid,"Es ist wichtig zu lernen, wie man mit Schwierigkeiten umgeht.",It is important to learn how to deal with difficulties.
Vielfach prämierten Speisen,Multiple award-winning dishes,Die vielfach prämierten Speisen des Restaurants sind sehr beliebt.,The restaurant's award-winning dishes are very popular.
Vollzogen,Executed,Der Wechsel wurde erfolgreich vollzogen.,The change was successfully completed.
Wahrnehmung,Perception,Unsere Wahrnehmung der Welt ist von unseren Erfahrungen geprägt.,Our perception of the world is shaped by our experiences.
Zeit verplempern,Waste time,"Es ist nicht gut, seine Zeit zu verplempern.",It's not good to waste your time.
Zielstrebig,Determined,Er verfolgte seine Ziele sehr zielstrebig.,He pursued his goals very determinedly.
Abgelegenen,Remote,Er lebt in einer abgelegenen Gegend.,He lives in a remote area.
Akribisch,Meticulous,Er arbeitet sehr akribisch und genau.,He works very meticulously and accurately.
Analytisches und logisches Denken,Analytical and logical thinking,Für diesen Job ist analytisches und logisches Denken sehr wichtig.,Analytical and logical thinking is very important for this job.
Arbeitsverhältnis,Employment relationship,Das Arbeitsverhältnis zwischen den beiden Parteien war sehr gut.,The employment relationship between the two parties was very good.
Arbeitsverträge aufsetzen,Set up employment contracts,"Es ist wichtig, Arbeitsverträge sorgfältig aufzusetzen.",It is important to carefully set up employment contracts.
Auflichten,Light up,"Der Nebel begann aufzulichten, als die Sonne aufging.",The fog began to clear as the sun rose.
Ausführlich,Detailed,Er erklärte seine Pläne sehr ausführlich.,He explained his plans in great detail.
Ballungsraum,Conurbation,Er lebt in einem Ballungsraum mit hoher Bevölkerungsdichte.,He lives in a conurbation with a high population density.
Beihalten,Hold on,Er konnte dem hohen Tempo nicht beihalten.,He couldn't keep up with the fast pace.
Belastbarkeit,Resilience,"Seine hohe Belastbarkeit half ihm, in stressigen Situationen gut zu funktionieren.",His high resilience helped him to function well in stressful situations.
Berühren,Touch,"Es ist wichtig, sensible Themen mit Respekt zu berühren.",It is important to touch sensitive topics with respect.
Bescheid,Notice,"Bitte geben Sie mir Bescheid, wenn Sie weitere Informationen benötigen.",Please let me know if you need further information.
Bestellung versenden,Send order,Wir werden Ihre Bestellung so schnell wie möglich versenden.,We will send your order as soon as possible.
Betriebsräte,Works councils,Die Betriebsräte spielen eine wichtige Rolle in der Unternehmensführung.,The works councils play an important role in corporate management.
Beweis,Proof,Er konnte keinen Beweis für seine Behauptungen vorlegen.,He could not provide evidence for his claims.
Darbitten,Offer,"Er bat seine Hilfe dar, als er sah, dass sie in Schwierigkeiten war.",He offered his help when he saw that she was in trouble.
Der Reihe nach,In order,"Wir sollten die Aufgaben der Reihe nach erledigen, um nichts zu vergessen.",We should do the tasks one after the other so as not to forget anything.
Der Wandel,The change,Der Wandel in der Gesellschaft ist unausweichlich.,Change in society is inevitable.
Die Kapazität,The capacity,Die Kapazität des Stadions beträgt 50.000 Zuschauer.,"The capacity of the stadium is 50,000 spectators."
Die Konsument,The consumer,Die Konsumenten haben eine große Macht auf dem Markt.,Consumers have a lot of power in the market.
Die Priorität,The priority,Die Priorität sollte immer die Sicherheit sein.,The priority should always be safety.
Die Ressource,The resource,Wir müssen unsere Ressourcen effizient nutzen.,We need to use our resources efficiently.
Die Schlüsselqualifikation,The key qualification,Kommunikationsfähigkeit ist eine Schlüsselqualifikation in vielen Berufen.,Communication skills are a key qualification in many professions.
Durchsetzungsvermögen,Assertiveness,Ein guter Manager braucht Durchsetzungsvermögen.,A good manager needs assertiveness.
Einfühlungsvermögen,Empathy,Einfühlungsvermögen ist eine wichtige Eigenschaft für einen Therapeuten.,Empathy is an important quality for a therapist.
Einer Illusion erliegen,To succumb to an illusion,"Es ist leicht, einer Illusion zu erliegen, wenn man nicht aufpasst.",It's easy to fall prey to an illusion if you're not careful.
Etwas nicht gewachsen sein,Not being up to something,Er war der Aufgabe nicht gewachsen und musste um Hilfe bitten.,He was not up to the task and had to ask for help.
Fehler ausüben,Make a mistake,"Es ist wichtig, aus unseren Fehlern zu lernen.",It's important to learn from our mistakes.
Floskelhaft,Clichéd,Seine Rede war floskelhaft und ohne Substanz.,His speech was clichéd and without substance.
Fortan,From now on,Fortan werde ich vorsichtiger sein.,"From now on, I will be more careful."
Führungskompetenz,Leadership competence,Führungskompetenz ist eine wichtige Fähigkeit für Manager.,Leadership competence is an important skill for managers.
Gehaltsabrechnungen erstellen,Create payroll accounting,"Die Personalabteilung ist dafür verantwortlich, die Gehaltsabrechnungen zu erstellen.",The HR department is responsible for creating the payroll.
Gehaltsvorstellungen,Salary expectations,Bei einem Vorstellungsgespräch sollten Sie Ihre Gehaltsvorstellungen klar kommunizieren.,"In a job interview, you should clearly communicate your salary expectations."
Gelangen zu,Get to,Nach einer langen Reise gelangten sie endlich zu ihrem Ziel.,"After a long journey, they finally reached their destination."
Grundvoraussetzung,Basic requirement,Eine gute Ausbildung ist eine Grundvoraussetzung für diesen Job.,A good education is a basic requirement for this job.
Haufenweise,In heaps,Er hatte haufenweise Arbeit zu erledigen.,He had a ton of work to do.
Herausfiltern,Filter out,Mit der richtigen Strategie können wir die wichtigen Informationen herausfiltern.,"With the right strategy, we can filter out the important information."
Klarkommen mit,Get along with,"Es ist wichtig, mit Stress gut klarzukommen.",It's important to cope well with stress.
Kommilitonen,Fellow students,Meine Kommilitonen und ich lernen oft zusammen für Prüfungen.,My fellow students and I often study together for exams.
Kommunikationsfähigkeit,Communication skills,Gute Kommunikationsfähigkeit ist in fast jedem Job wichtig.,Good communication skills are important in almost every job.
Konfliktfähigkeit,Conflict ability,Konfliktfähigkeit ist eine wichtige Fähigkeit in der Arbeitswelt.,Conflict resolution is an important skill in the workplace.
Kundenorientierung,Customer orientation,Unser Unternehmen legt großen Wert auf Kundenorientierung.,Our company places great value on customer orientation.
Lehrreich,Educational,Die Vorlesung war sehr lehrreich und informativ.,The lecture was very informative and educational.
Mitarbeiter abmahnen,Warn employees,"Es ist die Aufgabe des Managers, Mitarbeiter abzumahnen, wenn sie ihre Pflichten vernachlässigen.",It's the manager's job to reprimand employees if they neglect their duties.
Neugierig zu stimmen,To make curious,"Ein guter Lehrer weiß, wie man die Schüler neugierig stimmt.",A good teacher knows how to pique the students' curiosity.
Pakete frankieren,Frank packages,"Bevor Sie Pakete versenden, müssen Sie sie frankieren.","Before you send packages, you have to frank them."
Passgenau aufzuzeigen,To show precisely,"Es ist wichtig, Lösungen passgenau aufzuzeigen.",It's important to show solutions precisely.
Plausibel,Plausible,Seine Erklärung war sehr plausibel und logisch.,His explanation was very plausible and logical.
Preise aushandeln,Negotiate prices,"In einigen Ländern ist es üblich, Preise auszuhandeln.","In some countries, it's common to negotiate prices."
Rabatte gewähren,Grant discounts,Wir gewähren Rabatte für Großbestellungen.,We grant discounts for bulk orders.
Rechnungen schreiben,Write invoices,Als Freiberufler müssen Sie Ihre eigenen Rechnungen schreiben.,"As a freelancer, you have to write your own invoices."
Reklamationen bearbeiten,Handle complaints,"Unser Kundenservice ist dafür zuständig, Reklamationen zu bearbeiten.",Our customer service is responsible for handling complaints.
Scheitern an,Fail at,Viele scheitern an der hohen Anforderung dieses Kurses.,Many fail due to the high demands of this course.
Sich auf dem Laufenden halten,Keep up to date,"Es ist wichtig, sich auf dem Laufenden zu halten, um neue Entwicklungen nicht zu verpassen.",It's important to stay up-to-date to not miss new developments.
Sich einen Überblick verschaffen über,Get an overview of,"Bevor Sie eine Entscheidung treffen, sollten Sie sich einen Überblick verschaffen.","Before you make a decision, you should get an overview."
Sich verzögern,To delay,Die Lieferung könnte sich verzögern aufgrund des schlechten Wetters.,The delivery might be delayed due to bad weather.
Stichwortartig aufzählen,List keywords,Können Sie die Hauptpunkte stichwortartig aufzählen?,Can you list the main points in bullet points?
Teamfähigkeit,Teamwork,Teamfähigkeit ist eine wichtige Fähigkeit in der heutigen Arbeitswelt.,Teamwork is an important skill in today's working world.
Umgehen mit,Deal with,"Es ist wichtig zu lernen, wie man mit Konflikten umgeht.",It's important to learn how to deal with conflicts.
Verhandlungen führen mit,Negotiate with,Unser Geschäftsführer wird die Verhandlungen mit dem Kunden führen.,Our CEO will conduct the negotiations with the customer.
Vermeiden,Avoid,"Wir sollten es vermeiden, voreilige Schlüsse zu ziehen.",We should avoid jumping to conclusions.
Verschwenden,Waste,Wir sollten keine Zeit verschwenden.,We shouldn't waste time.
Versetzen,Transfer,"Der Chef hat entschieden, ihn in eine andere Abteilung zu versetzen.",The boss decided to transfer him to another department.
Vertrag,Contract,"Bevor Sie einen Vertrag unterschreiben, sollten Sie ihn sorgfältig lesen.","Before you sign a contract, you should read it carefully."
Verwechseln,Confuse,"Es ist leicht, diese beiden Wörter zu verwechseln.",It's easy to confuse these two words.
Vieles auf einmal tun,Do many things at once,"Es ist nicht effizient, vieles auf einmal zu tun.",It's not efficient to do many things at once.
Voraussetzen,Assume,Dieser Job setzt ein hohes Maß an Verantwortungsbewusstsein voraus.,This job requires a high level of responsibility.
Waren annehmen,Accept goods,"Der Lagerarbeiter ist dafür verantwortlich, die Waren anzunehmen.",The warehouse worker is responsible for accepting the goods.
Waren zusammenstellen,Assemble goods,Unsere Mitarbeiter stellen die Waren für den Versand zusammen.,Our employees assemble the goods for shipping.
Warenbestände prüfen,Check stock levels,"Es ist wichtig, regelmäßig die Warenbestände zu prüfen.",It's important to regularly check the stock levels.
Zeit verplempern,Waste time,Wir sollten keine Zeit verplempern.,We shouldn't waste time.
Zielstrebig,Determined,Er verfolgte seine Ziele sehr zielstrebig.,He pursued his goals very determinedly.
Zuständig sein für,Be responsible for,Als Projektleiter ist er für die Koordination des Teams zuständig.,"As a project manager, he is responsible for coordinating the team."
