die Stärke,strength,"Zu meinen Stärken gehört meine Teamfähigkeit.","My ability to work in a team is one of my strengths."
belastbar,resilient,"In stressigen Situationen müssen Sie sehr belastbar sein.","In stressful situations, you must be very resilient."
eigeninitiativ,on one's own initiative,"Wir suchen Mitarbeiter, die eigeninitiativ Probleme lösen.","We are looking for employees who solve problems on their own initiative."
flexibel,flexible,"Sie müssen flexibel sein, was die Arbeitszeiten angeht.","You must be flexible regarding working hours."
hilfsbereit,helpful,"Die Kollegen waren am ersten Tag sehr hilfsbereit.","The colleagues were very helpful on the first day."
kreativ,creative,"Für das Marketing brauchen wir kreative Köpfe.","We need creative minds for marketing."
lernbereit,ready to learn,"Er ist sehr motiviert und lernbereit.","He is very motivated and ready to learn."
(un-)organisiert,(dis)organised,"Ein unorganisierter Arbeitsplatz kostet Zeit.","A disorganized workplace wastes time."
selbstbewusst,self-assured,"Sie trat im Vorstellungsgespräch sehr selbstbewusst auf.","She appeared very self-assured in the interview."
teamfähig,capable of teamwork,"Sind Sie teamfähig oder arbeiten Sie lieber allein?","Are you capable of teamwork or do you prefer working alone?"
tolerant,tolerant,"In einem internationalen Team muss man tolerant sein.","In an international team, one must be tolerant."
verantwortungsbewusst,responsible,"Er geht sehr verantwortungsbewusst mit den Firmendaten um.","He handles company data very responsibly."
die Anerkennung (Dokument),recognition,"Die offizielle Anerkennung seines Diploms dauerte drei Monate.","The official recognition of his diploma took three months."
der Antrag,application,"Haben Sie den Antrag auf Urlaub schon ausgefüllt?","Have you filled out the application for leave yet?"
der Lebenslauf,curriculum vitae,"Der Lebenslauf sollte lückenlos sein.","The curriculum vitae should be without gaps."
die Unterlagen,documents,"Bitte senden Sie uns Ihre vollständigen Unterlagen per E-Mail.","Please send us your complete documents via email."
das Zeugnis,report / reference,"Das Arbeitszeugnis war sehr positiv.","The job reference was very positive."
die Zulassung,admission,"Die Zulassung zum Studium kam letzte Woche per Post.","The admission to the university program arrived by mail last week."
German Word,English Meaning,German Example Sentence,English Translation
der Arbeitsablauf,workflow,"Wir müssen den Arbeitsablauf in der Produktion optimieren.","We need to optimize the workflow in production."
das Berufsfeld,professional field,"In welchem Berufsfeld möchten Sie zukünftig arbeiten?","In which professional field would you like to work in the future?"
das Fachdeutsch,technical German,"Der Kurs vermittelt Fachdeutsch für Pflegekräfte.","The course teaches technical German for nursing staff."
Fachleute / Fachkräfte (Pl.),professionals,"Wir suchen dringend Fachkräfte für die IT-Abteilung.","We are urgently looking for professionals for the IT department."
der Fachwortschatz,specialist vocabulary,"Der Fachwortschatz in der Medizin ist sehr umfangreich.","The specialist vocabulary in medicine is very extensive."
der Handwerker / die Handwerkerin,craftsman / craftswoman,"Der Handwerker hat das Dach schnell repariert.","The craftsman repaired the roof quickly."
der MINT-Beruf,STEM profession,"Frauen werden verstärkt für MINT-Berufe geworben.","Women are increasingly being recruited for STEM professions."
die Teilzeit,part-time,"Sie arbeitet momentan in Teilzeit, möchte aber aufstocken.","She is currently working part-time but wants to increase her hours."
die Vollzeit,full time,"Eine Vollzeitstelle umfasst in der Regel 40 Stunden pro Woche.","A full-time position usually comprises 40 hours per week."
der gefragte Beruf,sought-after profession,"Altenpfleger ist ein sehr gefragter Beruf in Deutschland.","Geriatric nurse is a very sought-after profession in Germany."
der Umgang mit Kunden,dealing with customers,"Freundlicher Umgang mit Kunden ist für uns selbstverständlich.","Friendly dealing with customers is a matter of course for us."
die Berechtigung,authorisation / eligibility,"Haben Sie die Berechtigung, diesen Stapler zu fahren?","Do you have the authorisation to drive this forklift?"
die Förderung,funding / promotion,"Die Förderung für die Fortbildung wurde bewilligt.","The funding for the further training was approved."
der Lehrgang,course,"Der Lehrgang dauert insgesamt sechs Wochen.","The course lasts six weeks in total."
der Nachweis,proof,"Bitte bringen Sie einen Nachweis über Ihre Deutschkenntnisse mit.","Please bring proof of your German language skills."
die Vorkenntnisse (Pl.),prior knowledge,"Für diesen Kurs sind keine Vorkenntnisse nötig.","No prior knowledge is required for this course."
der Vermittler / die Vermittlerin,agent / intermediary,"Der Vermittler half uns, eine passende Wohnung zu finden.","The agent helped us find a suitable apartment."
die Meisterprüfung machen,to take the master craftsman's examination,"Er will nächstes Jahr seine Meisterprüfung machen.","He wants to take his master craftsman's examination next year."
persönlich vorbeikommen,to come by in person,"Könnten Sie bitte morgen persönlich vorbeikommen, um den Vertrag zu unterschreiben?","Could you please come by in person tomorrow to sign the contract?"
sich beruflich neu orientieren,to set out in a new professional direction,"Nach zehn Jahren im Verkauf möchte sie sich beruflich neu orientieren.","After ten years in sales, she wants to set out in a new professional direction."
die beglaubigte Kopie,certified copy,"Sie müssen eine beglaubigte Kopie Ihres Zeugnisses einreichen.","You must submit a certified copy of your certificate."
die beglaubigte Übersetzung,certified translation,"Ausländische Urkunden benötigen oft eine beglaubigte Übersetzung.","Foreign certificates often require a certified translation."
die berufliche Anerkennung beantragen,to apply for professional recognition,"Er hat die berufliche Anerkennung seines Diploms beantragt.","He has applied for professional recognition of his diploma."
die Qualifikation,qualification,"Welche Qualifikation bringen Sie für diese Stelle mit?","What qualification do you bring for this position?"
das Übersetzungsbüro,translation agency,"Wir haben ein Übersetzungsbüro mit den Dokumenten beauftragt.","We commissioned a translation agency with the documents."
der Einzelunternehmer,sole proprietor,"Als Einzelunternehmer trägt er das volle Risiko.","As a sole proprietor, he bears the full risk."
der Geschäftspartner,business partner,"Mein Geschäftspartner kümmert sich um die Finanzen.","My business partner takes care of the finances."
gut/schlecht anlaufen,to start well/badly,"Das neue Projekt ist sehr gut angelaufen.","The new project started very well."
die freiberufliche Tätigkeit,freelance work,"Er meldete seine freiberufliche Tätigkeit beim Finanzamt an.","He registered his freelance work with the tax office."
ein Unternehmen gründen,to start a company,"Sie wollen gemeinsam ein Unternehmen gründen.","They want to start a company together."
die Berufserfahrung,professional experience,"Viel Berufserfahrung ist für diese Position von Vorteil.","A lot of professional experience is an advantage for this position."
das Bewerbungstraining,application training,"Das Jobcenter bietet ein kostenloses Bewerbungstraining an.","The job center offers free application training."
die Spezialisierung,specialisation,"Seine Spezialisierung auf Steuerrecht macht ihn sehr gefragt.","His specialisation in tax law makes him very sought-after."
das Stellengesuch,advertisement seeking employment,"Er gab ein Stellengesuch in der lokalen Zeitung auf.","He placed an advertisement seeking employment in the local newspaper."
die Anforderung,requirement,"Die Anforderungen an Bewerber sind in den letzten Jahren gestiegen.","The requirements for applicants have increased in recent years."
der Arbeitssuchende / die Arbeitssuchende,job seeker,"Die Messe bietet Arbeitssuchenden gute Kontaktmöglichkeiten.","The fair offers job seekers good networking opportunities."
das mittelständische Unternehmen,medium-sized company,"Er arbeitet lieber in einem mittelständischen Unternehmen als in einem Konzern.","He prefers working in a medium-sized company rather than a corporation."
nach dem aktuellen Stand fragen,to ask about the current progress,"Ich wollte nach dem aktuellen Stand meiner Bewerbung fragen.","I wanted to ask about the current progress of my application."
sich an jmdn. wenden,to contact someone,"Bei Fragen können Sie sich jederzeit an mich wenden.","If you have questions, you can contact me at any time."
sich auf eine Anzeige beziehen,to refer to an ad,"Ich beziehe mich auf Ihre Anzeige im Internet.","I am referring to your ad on the internet."
sich um eine Stelle bewerben,to apply for a job,"Sie hat sich um eine Stelle als Abteilungsleiterin beworben.","She applied for a job as a department head."
das Ehrenamt,volunteer work,"Ein Ehrenamt macht sich gut im Lebenslauf.","Volunteer work looks good on a CV."
die Schulbildung,school education,"Bitte geben Sie Details zu Ihrer Schulbildung an.","Please provide details about your school education."
die besonderen Kenntnisse (Pl.),special knowledge,"Haben Sie besondere Kenntnisse, wie zum Beispiel EDV-Erfahrung?","Do you have special knowledge, such as IT experience?"
die berufliche Station,career stage,"Seine letzte berufliche Station war in London.","His last career stage was in London."
die persönlichen Daten (Pl.),personal information,"Die persönlichen Daten stehen meist am Anfang des Lebenslaufs.","Personal information usually appears at the beginning of the CV."
verhandlungssicher,business fluent,"Für diesen Job benötigen Sie verhandlungssicheres Englisch.","For this job, you need business fluent English."
die ausgeschriebene Stelle,advertised position,"Die ausgeschriebene Stelle passt genau zu meinem Profil.","The advertised position fits my profile exactly."
ein Bewerbungsschreiben verfassen,to write a letter of application,"Es ist nicht einfach, ein gutes Bewerbungsschreiben zu verfassen.","It is not easy to write a good letter of application."
zur Verfügung stehen,to be available / on hand,"Für ein Gespräch stehe ich Ihnen gerne zur Verfügung.","I am happily available for an interview."
den Interessen entsprechen,to match the interests,"Die Aufgaben entsprechen genau meinen Interessen.","The tasks match my interests exactly."
die Gehaltsvorstellung,salary expectation,"Bitte nennen Sie uns Ihre Gehaltsvorstellung im Anschreiben.","Please state your salary expectation in the cover letter."
die Herausforderung,challenge,"Ich suche eine neue berufliche Herausforderung.","I am looking for a new professional challenge."
einen guten Eindruck machen,to make a good impression,"Kleiden Sie sich ordentlich, um einen guten Eindruck zu machen.","Dress neatly to make a good impression."
eine schwierige Situation meistern,to master a difficult situation,"Sie hat die schwierige Situation souverän gemeistert.","She mastered the difficult situation confidently."
sich erkundigen,to enquire,"Ich möchte mich nach den Arbeitszeiten erkundigen.","I would like to enquire about the working hours."
sich für einen Bewerber entscheiden,to decide on an applicant,"Wir haben uns für einen anderen Bewerber entschieden.","We decided on another applicant."
eine Stelle antreten,to take up a position,"Wann können Sie die Stelle antreten?","When can you take up the position?"
das Arbeitsverhältnis,employment relationship,"Das Arbeitsverhältnis ist unbefristet.","The employment relationship is permanent."
das Betriebsgeheimnis,trade secret,"Sie darf keine Betriebsgeheimnisse verraten.","She is not allowed to reveal trade secrets."
das Gehalt,salary,"Das Gehalt wird am Monatsende überwiesen.","The salary is transferred at the end of the month."
die Krankmeldung,sick note,"Die Krankmeldung muss am ersten Tag vorliegen.","The sick note must be submitted on the first day."
die Kündigungsfrist,period of notice,"Die Kündigungsfrist beträgt drei Monate zum Monatsende.","The period of notice is three months to the end of the month."
die Lohnfortzahlung,sick pay,"Im Krankheitsfall erhalten Sie sechs Wochen Lohnfortzahlung.","In case of illness, you receive sick pay for six weeks."
die Probezeit,probationary period,"Die Probezeit dauert in der Regel sechs Monate.","The probationary period usually lasts six months."
die Überstunde,hour of overtime,"Jede Überstunde wird entweder bezahlt oder durch Freizeit ausgeglichen.","Every hour of overtime is either paid or compensated with time off."
der Verdienst,earnings,"Der Verdienst in dieser Branche ist überdurchschnittlich.","The earnings in this industry are above average."
die Vergütung,remuneration,"Die Vergütung für das Praktikum ist angemessen.","The remuneration for the internship is appropriate."
die Verschwiegenheitspflicht,duty of confidentiality,"Im Vertrag steht eine Klausel zur Verschwiegenheitspflicht.","There is a clause regarding the duty of confidentiality in the contract."
die Anweisung,instruction,"Er hat die Anweisung nicht richtig verstanden.","He didn't understand the instruction correctly."
die Gefahrenstelle,danger point,"Die Baustelle wurde als Gefahrenstelle markiert.","The construction site was marked as a danger point."
das Schild,sign,"Das Schild warnt vor Rutschgefahr.","The sign warns of a slipping hazard."
der Verbesserungsvorschlag,suggestion for improvement,"Wir sind offen für jeden Verbesserungsvorschlag der Mitarbeiter.","We are open to any suggestion for improvement from the employees."
das Zeichen,sign / signal,"Er gab mir ein Zeichen, dass ich anfangen kann.","He gave me a sign that I could start."
die Alarmanlage einschalten,to activate the alarm system,"Vergessen Sie nicht, abends die Alarmanlage einzuschalten.","Don't forget to activate the alarm system in the evening."
die ätzende Säure,corrosive acid,"Tragen Sie Handschuhe beim Umgang mit ätzender Säure.","Wear gloves when handling corrosive acid."
das Berichtsheft führen,to keep the record book,"Auszubildende müssen regelmäßig ihr Berichtsheft führen.","Apprentices must regularly keep their record book."
das brennende Material,burning material,"Löschen Sie brennendes Material sofort.","Extinguish burning material immediately."
auslegen (Dokument),to display / lay out,"Wir werden die Sicherheitsvorschriften im Flur auslegen.","We will display the safety regulations in the hallway."
die elektrische Spannung,voltage,"Vorsicht, hier herrscht hohe elektrische Spannung.","Caution, there is high voltage here."
das explosive Material,explosive material,"Explosives Material muss sicher gelagert werden.","Explosive material must be stored securely."
das giftige Material,toxic material,"Dieser Behälter enthält giftiges Material.","This container contains toxic material."
auf Hygiene achten,to pay attention to hygiene,"In der Küche müssen wir streng auf Hygiene achten.","In the kitchen, we must strictly pay attention to hygiene."
zur Kasse begleiten,to accompany to the checkout,"Könnten Sie den Kunden bitte zur Kasse begleiten?","Could you please accompany the customer to the checkout?"
keine Zeit verlieren,to lose no time,"Wir dürfen keine Zeit verlieren, die Frist endet bald.","We must lose no time; the deadline ends soon."
Papiere dabeihaben,to have papers with you,"Haben Sie alle notwendigen Papiere dabei?","Do you have all the necessary papers with you?"
Quittungen aufheben,to keep receipts,"Sie sollten die Quittungen für die Reisekostenabrechnung aufheben.","You should keep the receipts for the travel expense report."
Bescheid geben,to inform,"Bitte geben Sie mir Bescheid, wenn Sie fertig sind.","Please inform me when you are finished."
absagen (Termin),to cancel,"Ich muss den Termin leider kurzfristig absagen.","Unfortunately, I have to cancel the appointment at short notice."
verlegen (Termin),to re-schedule,"Können wir das Meeting auf morgen verlegen?","Can we re-schedule the meeting to tomorrow?"
übernehmen (Termin),to attend / take over,"Kannst du den Termin für mich übernehmen?","Can you take over the appointment for me?"
berechnen (Überstunden),to calculate,"Wie werden die Überstunden berechnet?","How is the overtime calculated?"
der Krankenschein,health insurance certificate / sick slip,"Bitte schicken Sie den Krankenschein an die Personalabteilung.","Please send the health insurance certificate to the HR department."
die Krankmeldung,sick note,"Ohne Krankmeldung bekommen Sie kein Geld.","Without a sick note, you won't get any money."
der Schwindel,dizziness,"Er klagte über starken Schwindel am Morgen.","He complained about severe dizziness in the morning."
der Stromschlag,electric shock,"Er bekam einen leichten Stromschlag am kaputten Kabel.","He got a mild electric shock from the broken cable."
die Übelkeit,nausea,"Bei Übelkeit sollten Sie an die frische Luft gehen.","If you feel nausea, you should go out into the fresh air."
einen Arzt rufen,to call a doctor,"Wir mussten sofort einen Arzt rufen.","We had to call a doctor immediately."
gesundheitliche Probleme haben,to have health problems,"Wenn Sie gesundheitliche Probleme haben, melden Sie sich bitte.","If you have health problems, please report them."
die Haut kühlen,to cool the skin,"Nach der Verbrennung müssen Sie die Haut kühlen.","After the burn, you must cool the skin."
den Rettungsdienst anrufen,to call an ambulance,"Zögern Sie nicht, den Rettungsdienst anzurufen.","Do not hesitate to call an ambulance."
sich krankmelden,to call in sick,"Er musste sich heute Morgen krankmelden.","He had to call in sick this morning."
die Stromquelle abschalten,to turn off the power source,"Vor der Reparatur unbedingt die Stromquelle abschalten.","Turn off the power source before repairing."
die Vertretung organisieren,to organise a stand-in,"Wer organisiert die Vertretung, wenn du im Urlaub bist?","Who organises the stand-in when you are on vacation?"
den Unfallbericht schreiben,to write the accident report,"Der Sicherheitsbeauftragte muss den Unfallbericht schreiben.","The safety officer must write the accident report."
die antibakterielle Seife,antibacterial soap,"Benutzen Sie bitte die antibakterielle Seife im Spender.","Please use the antibacterial soap in the dispenser."
die Ordnung,tidiness / order,"Ordnung am Arbeitsplatz ist sehr wichtig.","Tidiness at the workplace is very important."
der Putzlappen,cleaning rag,"Der Putzlappen liegt im Eimer unter der Spüle.","The cleaning rag is in the bucket under the sink."
der Staubsauger,vacuum cleaner,"Der Staubsauger ist leider kaputt.","The vacuum cleaner is unfortunately broken."
das Waschbecken,washbasin,"Das Waschbecken muss gereinigt werden.","The washbasin needs to be cleaned."
German Word,English Meaning,German Example Sentence,English Translation
der Mengenrabatt,bulk discount,"Bei einer Abnahme von über 100 Stück gewähren wir Mengenrabatt.","We grant a bulk discount for purchases of over 100 pieces."
die Preisangabe,quotation / price indication,"Alle Preisangaben sind ohne Gewähr.","All price indications are subject to change."
der Preisnachlass,price reduction,"Wegen des kleinen Fehlers gab er mir einen Preisnachlass.","Because of the small defect, he gave me a price reduction."
eine Bestellung aufgeben,to place an order,"Ich möchte gerne eine Bestellung aufgeben.","I would like to place an order."
eine Bestellung durchgeben,to transmit an order,"Können Sie die Bestellung bitte telefonisch durchgeben?","Can you please transmit the order by phone?"
die Buchung bestätigen,to confirm the booking,"Wir haben Ihre Buchung hiermit bestätigt.","We have hereby confirmed your booking."
einen Liefertermin abklären,to clarify a delivery date,"Ich muss erst den Liefertermin mit der Spedition abklären.","I first have to clarify the delivery date with the shipping company."
eine offene Frage klären,to clarify an open question,"Lassen Sie uns noch diese eine offene Frage klären.","Let us clarify this one open question."
der vereinbarte Termin,agreed date,"Bitte halten Sie den vereinbarten Termin ein.","Please keep the agreed date."
nachfragen,to enquire,"Ich wollte nur kurz nachfragen, ob das Paket angekommen ist.","I just wanted to briefly enquire if the package has arrived."
vorbeikommen,to come over,"Können Sie heute Nachmittag kurz im Büro vorbeikommen?","Can you come over to the office briefly this afternoon?"
am Apparat,speaking (on the phone),"Müller am Apparat, was kann ich für Sie tun?","Müller speaking, what can I do for you?"
auf den Anrufbeantworter sprechen,to leave a message on the answering machine,"Bitte sprechen Sie nach dem Signalton auf den Anrufbeantworter.","Please leave a message on the answering machine after the beep."
Auskunft geben,to provide information,"Können Sie mir Auskunft über die Preise geben?","Can you provide me with information about the prices?"
außerhalb der Sprechzeit anrufen,to call outside office hours,"Sie rufen leider außerhalb unserer Sprechzeiten an.","Unfortunately, you are calling outside our office hours."
Bezug nehmen auf,to refer to,"Ich nehme Bezug auf unser Telefonat von gestern.","I am referring to our phone call yesterday."
in dringenden Fällen,in urgent cases,"In dringenden Fällen erreichen Sie mich auf dem Handy.","In urgent cases, you can reach me on my mobile."
eine kurze Rückmeldung geben,to give brief feedback,"Könnten Sie mir bitte bis morgen eine kurze Rückmeldung geben?","Could you please give me brief feedback by tomorrow?"
ohne Voranmeldung,without prior registration,"Sie können ohne Voranmeldung in unsere Praxis kommen.","You can come to our practice without prior registration."
sich wenden an,to contact,"Bei Problemen wenden Sie sich bitte an den Support.","In case of problems, please contact support."
das Missverständnis,misunderstanding,"Es gab ein kleines Missverständnis bezüglich des Termins.","There was a small misunderstanding regarding the appointment."
auf Beschwerden reagieren,to respond to complaints,"Wir müssen professionell auf Beschwerden reagieren.","We must respond professionally to complaints."
auf Nachfrage,on request,"Auf Nachfrage senden wir Ihnen gerne weitere Informationen.","On request, we will happily send you further information."
Bescheid geben,to inform,"Geben Sie mir bitte Bescheid, wenn Sie ankommen.","Please inform me when you arrive."
Einweisung bekommen,to be inducted,"Neue Mitarbeiter bekommen eine Einweisung in das Sicherheitssystem.","New employees receive an induction into the safety system."
einen Konflikt lösen,to resolve a conflict,"Wir sollten versuchen, den Konflikt friedlich zu lösen.","We should try to resolve the conflict peacefully."
sich beschweren,to complain,"Der Kunde hat sich über den schlechten Service beschwert.","The customer complained about the poor service."
zufrieden sein mit,to be satisfied with,"Sind Sie mit der Qualität unserer Arbeit zufrieden?","Are you satisfied with the quality of our work?"
der Abdruck,impression,"Der Zahnarzt macht einen Abdruck für die Krone.","The dentist is making an impression for the crown."
die Betäubungsspritze,anaesthetic injection,"Haben Sie Angst vor der Betäubungsspritze?","Are you afraid of the anaesthetic injection?"
die provisorische Füllung,temporary filling,"Die provisorische Füllung hält nur ein paar Wochen.","The temporary filling only lasts a few weeks."
die Haltbarkeit,durability,"Die Haltbarkeit dieses Materials ist sehr hoch.","The durability of this material is very high."
das Inlay,inlay,"Ein Gold-Inlay ist sehr langlebig.","A gold inlay is very durable."
die Karies,caries,"Regelmäßiges Putzen beugt Karies vor.","Regular brushing prevents caries."
die Keramik,ceramics,"Zahnfüllungen aus Keramik sehen sehr natürlich aus.","Ceramic tooth fillings look very natural."
das Labor,laboratory,"Das Labor stellt den Zahnersatz her.","The laboratory manufactures the dentures."
der Notdienst,emergency service,"Am Wochenende müssen Sie den zahnärztlichen Notdienst rufen.","On weekends you have to call the dental emergency service."
gründlich Zähne putzen,to brush teeth thoroughly,"Man sollte zweimal täglich gründlich Zähne putzen.","One should brush one's teeth thoroughly twice a day."
Schmerzen aushalten,to endure pain,"Ich kann die Schmerzen kaum aushalten.","I can hardly endure the pain."
die Gastronomie,hotel and catering,"In der Gastronomie wird oft am Wochenende gearbeitet.","In the hotel and catering industry, work is often done on weekends."
der Großhandel,wholesale,"Der Großhandel beliefert die Einzelhändler.","Wholesale supplies the retailers."
der Einzelhandel,retail,"Der Einzelhandel sucht dringend Personal.","Retail is urgently looking for staff."
