zum Ausgangspunkt zurückkehren,to come full circle,"His career has gone full circle.","Seine Karriere ist zum Ausgangspunkt zurückgekehrt."
die ausgemachte Sache,foregone conclusion,"The result of the match was a foregone conclusion.","Das Spielergebnis war eine ausgemachte Sache."
sich herrlich amüsieren,to have the time of your life,"She danced all night and had the time of her life.","Sie tanzte die ganze Nacht und hat sich herrlich amüsiert."
der Lebensretter,life-saver,"This website has been a life-saver.","Diese Webseite war ein echter Lebensretter."
Liebe macht blind,love is blind,"It must be true that love is blind.","Es muss wahr sein, dass Liebe blind macht."
die Beeinflussung / Manipulation,manipulation,"There was no evidence of manipulation.","Es gab keinen Beweis für eine Manipulation."
nichts zur Sache tun / unerheblich sein,to be neither here nor there,"Whether she's French or German is neither here nor there.","Ob sie Französin oder Deutsche ist, tut nichts zur Sache."
(schon) bessere Zeiten gesehen haben,to have seen better days,"My bike has seen better days.","Mein Fahrrad hat schon bessere Zeiten gesehen."
kurz und bündig / prägnant,succinctly,"Try and answer the questions succinctly.","Versuchen Sie, die Fragen kurz und bündig zu beantworten."
das passiert mir immer / Geschichte meines Lebens,the story of my life,"I was late for work three times last week – story of my life.","Ich kam letzte Woche dreimal zu spät zur Arbeit – das passiert mir immer."
die Welt liegt mir zu Füßen,the world is my oyster,"Once you've finished university, the world's your oyster.","Sobald du die Uni abgeschlossen hast, liegt dir die Welt zu Füßen."
das Herz auf der Zunge tragen,to wear your heart on your sleeve,"She's a singer who wears her heart on her sleeve.","Sie ist eine Sängerin, die ihr Herz auf der Zunge trägt."
die Schnäppchenjagd,bargain hunting,"We went bargain hunting in Camden market.","Wir gingen auf dem Camden Market auf Schnäppchenjagd."
der Kamerad / Kumpel,buddy,"Thanks to the buddy system I settled in very quickly.","Dank des Buddy-Systems habe ich mich sehr schnell eingelebt."
vorgeschrieben / Pflicht-,compulsory,"Maths is a compulsory subject at my school.","Mathe ist ein Pflichtfach an meiner Schule."
der Berater,counsellor,"They went to a marriage counsellor.","Sie gingen zu einem Eheberater."
vielfältig,diverse,"London has a diverse population.","London hat eine vielfältige Bevölkerung."
der Neujahrsvorsatz,New Year's Resolution,"Have you made any New Year's Resolutions?","Hast du irgendwelche Neujahrsvorsätze gefasst?"
ausgeliehen,on loan,"Two copies are out on loan.","Zwei Exemplare sind ausgeliehen."
unverhältnismäßig,disproportionate,"A disproportionate number of victims were over 70.","Eine unverhältnismäßig große Anzahl der Opfer war über 70."
der/die Älteste,elder,"The village elders met to discuss the problem.","Die Dorfältesten trafen sich, um das Problem zu besprechen."
finanzieren,to fund,"The government should fund more research.","Die Regierung sollte mehr Forschung finanzieren."
unschätzbar,invaluable,"His advice was invaluable.","Sein Rat war unschätzbar."
das Selbstwertgefühl,self-esteem,"Success leads to higher self-esteem.","Erfolg führt zu höherem Selbstwertgefühl."
das Kohlebecken / die Feuerschale,brazier,"The fire in the brazier had gone out.","Das Feuer im Kohlebecken war ausgegangen."
der Handelsposten,trading post,"Timbuktu was a key trading post.","Timbuktu war ein wichtiger Handelsposten."
der Lebensunterhalt,livelihood,"Their main source of livelihood is fishing.","Ihre Haupteinnahmequelle für den Lebensunterhalt ist das Fischen."
der Nomade,nomad,"They lived as nomads, travelling in different locations.","Sie lebten als Nomaden und reisten an verschiedene Orte."
das Pony,pony,"I always wanted to have a pony when I was a child.","Ich wollte als Kind immer ein Pony haben."
die Berufung,vocation,"She believed her vocation was to serve the church.","Sie glaubte, ihre Berufung sei es, der Kirche zu dienen."
gepunktet / verstreut,dotted,"The company has offices dotted across the USA.","Das Unternehmen hat Büros, die über die USA verstreut sind."
ungestraft davonkommen,to get away with,"He robbed a bank and got away with it.","Er hat eine Bank ausgeraubt und kam ungestraft davon."
auf jdn. zurückkommen (antworten),to get back to,"I'll get back to you next week.","Ich komme nächste Woche auf dich zurück."
zurechtkommen,to get by,"I'm not fluent in Spanish, but I can get by.","Ich spreche nicht fließend Spanisch, aber ich komme zurecht."
vorankommen / weitermachen,to get on with,"I've got to get on with my homework.","Ich muss mit meinen Hausaufgaben weitermachen."
um etw. herumkommen,to get out of,"I can't get out of the meeting.","Ich komme um das Meeting nicht herum."
überwinden / hinwegkommen,to get over,"She still hadn't got over her husband's death.","Sie war noch immer nicht über den Tod ihres Mannes hinweg."
zu etw. kommen (zeitlich),to get round to,"I haven't been able to get round to it yet.","Ich bin bisher noch nicht dazu gekommen."
der Grafikdesigner,graphic designer,"He trained as a graphic designer.","Er hat eine Ausbildung als Grafikdesigner gemacht."
vertraut / intim,intimate,"The book displayed the author's intimate knowledge of history.","Das Buch zeigte das vertraute Wissen des Autors über die Geschichte."
das Weichtier,mollusc,"Molluscs don't move around very much.","Weichtiere bewegen sich nicht sehr viel."
der Physiotherapeut,physiotherapist,"I have a weekly session with a physiotherapist.","Ich habe eine wöchentliche Sitzung bei einem Physiotherapeuten."
das Eiweiß / Protein,protein,"It's important to have enough protein in your diet.","Es ist wichtig, genug Eiweiß in der Ernährung zu haben."
die Pupille,pupil,"Foxes have oval, vertical pupils.","Füchse haben ovale, vertikale Pupillen."
der Speer,spear,"He used a spear to catch fish.","Er benutzte einen Speer, um Fische zu fangen."
in Fleisch und Blut übergehen,to be second nature to someone,"Politeness was second nature to her.","Höflichkeit war ihr in Fleisch und Blut übergegangen."
Vorsicht ist die Mutter der Porzellankiste,better to be safe than sorry,"Better to be safe than sorry, so wear a helmet.","Vorsicht ist die Mutter der Porzellankiste, also trag einen Helm."
in Grenzen halten / eindämmen,to contain,"Firefighters managed to contain the fire.","Die Feuerwehrleute schafften es, das Feuer einzudämmen."
an allen Ecken und Kanten sparen / pfuschen,to cut corners,"I want this done properly – no cutting corners.","Ich will, dass das ordentlich gemacht wird – kein Pfusch."
etw. streng nach Vorschrift erledigen,to do things by the book,"He had done everything by the book.","Er hatte alles streng nach Vorschrift erledigt."
auf Nummer sicher gehen,to err on the side of caution,"I always err on the side of caution when adding salt.","Ich gehe beim Salzen immer auf Nummer sicher (lieber zu wenig als zu viel)."
unzugänglich,inaccessible,"The village is inaccessible during the winter.","Das Dorf ist im Winter unzugänglich."
unabhängig von,regardless,"We welcome new members regardless of their age.","Wir begrüßen neue Mitglieder unabhängig von ihrem Alter."
weiterleiten,to relay,"News of the battle was relayed back to London.","Neuigkeiten der Schlacht wurden nach London weitergeleitet."
die Schicht (Arbeit),shift,"I'm on night shift next week.","Ich habe nächste Woche Nachtschicht."
jdn. in Watte packen,to wrap someone in cotton wool,"Stop wrapping them in cotton wool.","Hör auf, sie in Watte zu packen."
Neue Wörter,New words,"Example sentence here","Translation here"
bebaut,built-up,"There used to be fields there when I was growing up, but it's all built-up now.","Früher gab es dort Felder, als ich aufwuchs, aber jetzt ist alles bebaut."
sozial benachteiligt,deprived,"One of the most deprived areas in the country.","Eine der am stärksten benachteiligten Gegenden des Landes."
hoch gebaut,high-rise,"A modern high-rise apartment building.","Ein modernes Hochhaus mit Wohnungen."
imposant,imposing,"The entrance is through some imposing gates.","Der Eingang führt durch einige imposante Tore."
heruntergekommen,run-down,"When we bought the house, it was old and run-down.","Als wir das Haus kauften, war es alt und heruntergekommen."
schäbig,shabby,"He's always wearing that shabby old overcoat to work.","Er trägt bei der Arbeit immer diesen schäbigen alten Mantel."
das Geschoss,storey,"She lives in a five-storey block of flats.","Sie wohnt in einem fünfstöckigen Wohnblock."
von Bäumen gesäumt,tree-lined,"A sloping, tree-lined avenue leads to the cemetery.","Eine abschüssige, von Bäumen gesäumte Allee führt zum Friedhof."
die Einrichtung / Annehmlichkeit,amenity,"The village has two shops and other amenities.","Das Dorf hat zwei Geschäfte und andere Einrichtungen."
die schnell wachsende Stadt,boom town,"Aberdeen was a boom town once oil was discovered in the North Sea.","Aberdeen war eine schnell wachsende Stadt, nachdem in der Nordsee Öl entdeckt wurde."
charakterlos / nichtssagend,characterless,"We were surrounded by a characterless city centre.","Wir waren von einem charakterlosen Stadtzentrum umgeben."
betrügen / schummeln,to cheat,"Not paying your taxes is cheating.","Seine Steuern nicht zu zahlen, ist Betrug."
die Geisterstadt,ghost town,"Worthing was like a ghost town on Sunday afternoon.","Worthing war am Sonntagnachmittag wie eine Geisterstadt."
der historische Ort,historic town,"Welcome to the historic town of Arundel.","Willkommen in der historischen Stadt Arundel."
der Urlaubsort,holiday town,"I grew up in a holiday town on the west coast.","Ich bin in einem Urlaubsort an der Westküste aufgewachsen."
die Industriestadt,industrial town,"Runcorn is an industrial town and port in Cheshire.","Runcorn ist eine Industriestadt und ein Hafen in Cheshire."
lebhaft,lively,"The area around the university is very lively.","Die Gegend um die Universität ist sehr lebhaft."
der Magnet (Anziehungspunkt),magnet,"Granada is a magnet for tourists.","Granada ist ein Magnet für Touristen."
die Marktgemeinde,market town,"Huddersfield has been a market town for about 1,000 years.","Huddersfield ist seit etwa 1.000 Jahren eine Marktgemeinde."
photogen,photogenic,"The scenery around here is very photogenic.","Die Landschaft hier ist sehr fotogen."
die Hafenstadt,port town,"The largest port town on the north coast.","Die größte Hafenstadt an der Nordküste."
malerisch / idyllisch,quaint,"The hotel was on a quaint little street by the harbour.","Das Hotel lag an einer malerischen kleinen Straße am Hafen."
die Landeshauptstadt / Regionalhauptstadt,regional capital,"Rennes is the regional capital of Brittany.","Rennes ist die Regionalhauptstadt der Bretagne."
dreckig / ungepflegt,scruffy,"The city centre is all right, but the suburbs are a bit scruffy.","Das Stadtzentrum ist in Ordnung, aber die Vororte sind etwas ungepflegt."
autark / eigenständig,self-contained,"She lives in a self-contained flat on the second floor.","Sie wohnt in einer abgeschlossenen Wohnung im zweiten Stock."
das Elendsviertel,shanty town,"He grew up in a shanty town outside Santiago.","Er wuchs in einem Elendsviertel außerhalb von Santiago auf."
schläfrig / verschlafen,sleepy,"We spent a week in a sleepy village outside Cirencester.","Wir verbrachten eine Woche in einem verschlafenen Dorf außerhalb von Cirencester."
der Kurort,spa town,"Buxton and Ashbourne are two spa towns in the Peak District.","Buxton und Ashbourne sind zwei Kurorte im Peak District."
sich erstreckend / ausgebreitet,sprawling,"The university is housed on a sprawling campus to the south of the city.","Die Universität ist auf einem weitläufigen Campus im Süden der Stadt untergebracht."
die Universitätsstadt,university town,"Heidelberg is the oldest university town in Germany.","Heidelberg ist die älteste Universitätsstadt in Deutschland."
gepflegt,well-kept,"Behind the well-kept garden stood a two-storey wooden house.","Hinter dem gepflegten Garten stand ein zweistöckiges Holzhaus."
schmerzlich / bitter,bitterly,"It was a bitterly disappointing result for the England football team.","Es war ein bitter enttäuschendes Ergebnis für die englische Fußballmannschaft."
eng,closely,"The two companies have been closely linked for five years.","Die beiden Unternehmen sind seit fünf Jahren eng miteinander verbunden."
der Wintergarten,conservatory,"As usual, we had breakfast in the conservatory.","Wie üblich frühstückten wir im Wintergarten."
tödlich,deadly,"Cancer is a deadly disease.","Krebs ist eine tödliche Krankheit."
ausweglos / verzweifelt,desperately,"She was desperately sad after her father died.","Sie war verzweifelt traurig, nachdem ihr Vater gestorben war."
das Haushaltsgerät,domestic appliance,"Turn off domestic appliances to save electricity.","Schalten Sie Haushaltsgeräte aus, um Strom zu sparen."
hoffnungslos,hopelessly,"One umbrella was hopelessly inadequate for the three of us.","Ein Regenschirm war für uns drei hoffnungslos unzureichend."
idealerweise,ideally,"Each session should ideally be 30 minutes long.","Jede Sitzung sollte idealerweise 30 Minuten lang sein."
die Isolierung / der Isolator,insulator,"Reindeer skin is a good insulator.","Rentierhaut ist ein guter Isolator."
leicht / ein bisschen,mildly,"He seemed mildly surprised by my question.","Er schien von meiner Frage leicht überrascht."
schrecklich / unangenehm,painfully,"She was painfully shy when she started school.","Sie war schrecklich schüchtern, als sie in die Schule kam."
offenkundig,patently,"It was patently obvious that he had only just got up.","Es war offenkundig, dass er gerade erst aufgestanden war."
völlig / gänzlich,perfectly,"Whatever they did, it was perfectly legal.","Was auch immer sie taten, es war völlig legal."
schiebbar / Schiebe-,sliding,"The sliding doors open automatically as you approach them.","Die Schiebetüren öffnen sich automatisch, wenn man sich ihnen nähert."
atemberaubend,stunning,"The film is visually stunning.","Der Film ist visuell atemberaubend."
das Holz / Bauholz,timber,"We use local timber whenever we can.","Wir verwenden heimisches Holz, wann immer wir können."
vage / unbestimmt,vaguely,"He looked vaguely familiar, but I couldn't remember where I'd seen him before.","Er kam mir vage bekannt vor, aber ich konnte mich nicht erinnern, wo ich ihn schon einmal gesehen hatte."
schrecklich / ziemlich (wild),wildly,"The weather forecast for today was wildly inaccurate.","Die Wettervorhersage für heute war völlig ungenau."
neue Wege beschreiten,to break new ground,"Her work is highly original and succeeds in breaking new ground.","Ihre Arbeit ist sehr originell und schafft es, neue Wege zu beschreiten."
bezaubert,charmed,"The visitors will be charmed when they step through the door.","Die Besucher werden bezaubert sein, wenn sie durch die Tür treten."
einen weiten Bogen spannen / viel abdecken,to cover a lot of ground,"We covered a lot of ground in the first three lessons of the course.","Wir haben in den ersten drei Lektionen des Kurses viel Stoff abgedeckt."
die Führungsschicht / Institution,establishment,"She felt she had to challenge the establishment.","Sie hatte das Gefühl, das Establishment herausfordern zu müssen."
in Gang kommen,to get off the ground,"We thought the project would never get off the ground.","Wir dachten, das Projekt würde nie in Gang kommen."
auf dem Teppich bleiben,to keep your feet on the ground,"It's important to keep your feet on the ground and carry on working hard.","Es ist wichtig, auf dem Teppich zu bleiben und weiter hart zu arbeiten."
mit der Begründung dass,on the grounds that,"He begged for mercy on the grounds that he had never meant to hurt anyone.","Er bat um Gnade mit der Begründung, dass er nie jemanden verletzen wollte."
entwerfen / skizzieren,to sketch out,"He sketched out a design for the new kitchen.","Er entwarf einen Plan für die neue Küche."
gefragt / begehrt,sought-after,"One of the most sought-after architects in the world.","Einer der gefragtesten Architekten der Welt."
seinen Mann stehen / standhaft bleiben,to stand your ground,"She stood her ground and proved them all wrong by the end of the week.","Sie blieb standhaft und bewies ihnen allen bis Ende der Woche das Gegenteil."
unverblümt,bluntly,"To put it bluntly, he's stupid.","Um es unverblümt zu sagen: Er ist dumm."
das Kulturerbe,heritage,"People should appreciate their own heritage.","Menschen sollten ihr eigenes Kulturerbe wertschätzen."
das Gerichtsgebäude,court house,"The court house was built in 1889.","Das Gerichtsgebäude wurde 1889 erbaut."
tiefschürfend / tiefgreifend,profound,"This experience had a profound effect on his career.","Diese Erfahrung hatte eine tiefgreifende Auswirkung auf seine Karriere."
etw. genau sagen können,to put your finger on,"I knew there was something wrong, but I couldn't quite put my finger on what it was.","Ich wusste, dass etwas nicht stimmte, aber ich konnte nicht genau sagen, was es war."
einzig,sole,"His sole aim was to finish writing the book before the end of the year.","Sein einziges Ziel war es, das Buch vor Jahresende fertig zu schreiben."
erbaulich,uplifting,"It's a really inspiring story, really uplifting.","Es ist eine wirklich inspirierende Geschichte, wirklich erbaulich."
die Flosse,flipper,"Whales move easily through water because of their flippers.","Wale bewegen sich dank ihrer Flossen leicht durch das Wasser."
ausgestreckt,outstretched,"He sat there silently, staring at his outstretched feet.","Er saß schweigend da und starrte auf seine ausgestreckten Füße."
Neue Wörter,New words,"Example sentence here","Translation here"
verstärken,amplify,"A hearing aid that amplifies speech.","Ein Hörgerät, das Sprache verstärkt."
unterdrücken / weglassen,cut out,"These ear buds cut out external noise.","Diese Ohrstöpsel unterdrücken Außengeräusche."
der Ohrstecker / In-Ear-Kopfhörer,ear bud,"Some ear buds will block out external sounds.","Manche In-Ear-Kopfhörer blockieren Außengeräusche."
praktisch / so gut wie,virtually,"The town looked virtually unchanged since his childhood.","Die Stadt sah seit seiner Kindheit so gut wie unverändert aus."
sich leisten,to afford,"Once I start work, I'll be able to afford a new coat.","Sobald ich anfange zu arbeiten, werde ich mir einen neuen Mantel leisten können."
zerbrechen,to break,"I dropped a plate and broke it.","Ich habe einen Teller fallen lassen und ihn zerbrochen."
beschichtet,coated,"Many tablets today are coated.","Viele Tabletten sind heutzutage beschichtet."
kosmetisch / Schönheits-,cosmetic,"The stadium was given a cosmetic upgrade last year.","Das Stadion erhielt letztes Jahr eine kosmetische Aufwertung."
entsorgen,to dispose of,"What's the best way to dispose of old batteries?","Wie entsorgt man alte Batterien am besten?"
verzeihen,to excuse,"I understand why he did it but I still can't excuse his actions.","Ich verstehe, warum er es getan hat, aber ich kann seine Taten immer noch nicht verzeihen."
der Stoff,fabric,"Silk is my favourite fabric for this sort of dress.","Seide ist mein Lieblingsstoff für diese Art von Kleid."
falten,to fold,"He folded up the newspaper and put it back in his briefcase.","Er faltete die Zeitung zusammen und steckte sie zurück in seine Aktentasche."
sich vorstellen,to imagine,"Can you imagine what it would be like to be blind?","Kannst du dir vorstellen, wie es wäre, blind zu sein?"
verhandeln,to negotiate,"We are negotiating a big deal with a Chinese TV company.","Wir verhandeln gerade einen großen Deal mit einem chinesischen Fernsehsender."
die Grenzen neu definieren / überschreiten,to push the boundaries,"Scientists have pushed the boundaries of what is possible.","Wissenschaftler haben die Grenzen des Möglichen neu definiert."
zurückerstatten,to refund,"The amount you paid will be fully refunded.","Der Betrag, den Sie gezahlt haben, wird vollständig zurückerstattet."
sich verlassen,to rely,"Don't worry, you can rely on me.","Keine Sorge, du kannst dich auf mich verlassen."
entfernen,to remove,"You should remove the curtains before painting the window.","Sie sollten die Vorhänge entfernen, bevor Sie das Fenster streichen."
reparieren,to repair,"I need to repair my bike.","Ich muss mein Fahrrad reparieren."
wiederverwenden,to reuse,"We reused the wood to make benches.","Wir haben das Holz wiederverwendet, um Bänke zu bauen."
waschen,to wash,"It's your turn to wash the dishes after dinner.","Du bist an der Reihe, nach dem Abendessen das Geschirr abzuwaschen."
weitverbreitet,widespread,"Corruption was widespread in the capital.","Korruption war in der Hauptstadt weitverbreitet."
dazu kommen,to come,"He slowly came to realise that the company was failing.","Er kam langsam zu der Erkenntnis, dass die Firma scheiterte."
geschehen / passieren,to come about,"How did this strange situation come about?","Wie ist diese seltsame Situation zustande gekommen?"
auf etw. stoßen,to come across,"I came across some old photographs when I was looking for my tennis racket.","Ich stieß auf ein paar alte Fotos, als ich nach meinem Tennisschläger suchte."
klappen / gelingen,to come off,"If this comes off, no one will be more surprised than me.","Wenn das klappt, wird niemand überraschter sein als ich."
auf etw. stoßen (Probleme),to come up against,"The biggest problem we came up against was lack of money.","Das größte Problem, auf das wir stießen, war Geldmangel."
sich etw. einfallen lassen,to come up with,"My wife came up with the idea when we were on holiday.","Meine Frau hatte die Idee, als wir im Urlaub waren."
alltäglich,commonplace,"Mobile phones are commonplace now.","Handys sind heute alltäglich."
der Versandhandel / die Versandbestellung,mail-order,"Have you tried mail-order or Internet shopping?","Haben Sie Versandhandel oder Internet-Shopping ausprobiert?"
die Spritztour / der Ausflug,outing,"We had an outing to the beach on Saturday.","Wir machten am Samstag einen Ausflug zum Strand."
die Anerkennung,recognition,"The campaign has received international recognition.","Die Kampagne hat internationale Anerkennung erhalten."
unwürdig,unworthy,"In my opinion, the book was unworthy of all the praise it received.","Meiner Meinung nach war das Buch all des Lobes unwürdig, das es erhielt."
ausgebrannt,burned out,"A lot of people in banking are burned out by the age of 30.","Viele Leute im Bankwesen sind mit 30 Jahren ausgebrannt."
geschäftstüchtig / unternehmerisch,entrepreneurial,"Her entrepreneurial spirit carried her through.","Ihr unternehmerischer Geist trug sie hindurch."
etw. probieren,to give it a go,"I've never run a marathon before, but I'll give it a go.","Ich bin noch nie einen Marathon gelaufen, aber ich werde es versuchen."
über etw. nachdenken,to give it some thought,"Interesting idea! I'll give it some thought over the weekend.","Interessante Idee! Ich werde am Wochenende darüber nachdenken."
etw. Zeit geben,to give it some time,"It's difficult in your first week at university, but give it some time.","Die erste Woche an der Uni ist schwer, aber gib der Sache etwas Zeit."
sein Bestes geben,to give it your best,"I gave it my best, but only managed to come third.","Ich habe mein Bestes gegeben, aber bin nur Dritter geworden."
jdm. eine Chance geben / verschonen,to give someone a break,"Give him a break, he's only just left school.","Gib ihm eine Chance, er hat gerade erst die Schule verlassen."
jdm. grünes Licht geben,to give someone the go-ahead,"They liked our proposal and gave us the go-ahead.","Sie mochten unseren Vorschlag und gaben uns grünes Licht."
luxus / hochwertig,high-end,"We only sell high-end brands in this store.","Wir verkaufen in diesem Geschäft nur Luxusmarken."
schlecht sitzend,ill-fitting,"Jack arrived wearing a pair of ill-fitting jeans.","Jack kam in einer schlecht sitzenden Jeans an."
die Wesensart / der Charakter,make-up,"Modesty has always been part of her make-up.","Bescheidenheit war schon immer Teil ihres Charakters."
die Zufriedenheitsbewertung,satisfaction rating,"Japanese cars regularly top the customer satisfaction ratings.","Japanische Autos führen regelmäßig die Kundenzufriedenheitsbewertungen an."
anschwellen,to swell,"My feet always swell up during a plane journey.","Meine Füße schwellen während einer Flugreise immer an."
umsetzen / realisieren,to implement,"The government implemented an ambitious programme of reforms.","Die Regierung setzte ein ehrgeiziges Reformprogramm um."
die Abholzung,deforestation,"We need to slow down the rate of deforestation in South America.","Wir müssen die Geschwindigkeit der Abholzung in Südamerika verlangsamen."
der Haushalt,household,"70% of households in the city have one or more children.","70% der Haushalte in der Stadt haben ein oder mehrere Kinder."
kurz davor (sein),on the verge of,"We were on the verge of bankruptcy.","Wir standen kurz vor dem Bankrott."
das Einzelhandelsgeschäft / der Einzelhändler,retailer,"December is traditionally the best month for most retailers.","Der Dezember ist traditionell der beste Monat für die meisten Einzelhändler."
in jds. Bann stehen,under a spell,"I was under her spell for the first two months of university.","Ich stand die ersten zwei Monate an der Uni in ihrem Bann."
der Diplomat,diplomat,"She worked for 30 years as a diplomat.","Sie arbeitete 30 Jahre lang als Diplomatin."
das Sprechmuster,speech pattern,"His speech patterns remind me a lot of his father.","Seine Sprechmuster erinnern mich sehr an seinen Vater."
Neue Wörter,New words,"Example sentence here","Translation here"
leutselig / umgänglich,affable,"The staff here are very affable and eager to help.","Das Personal hier ist sehr umgänglich und hilfsbereit."
gemütlich,cosy,"It's lovely and cosy when everyone's sitting round the table.","Es ist schön und gemütlich, wenn alle um den Tisch sitzen."
großartig / imposant,grand,"The houses looked very grand.","Die Häuser sahen sehr großartig aus."
diensteifrig / wichtig tuend,officious,"An officious museum curator.","Ein diensteifriger Museumskurator."
die vorgefasste Meinung,preconception,"We all came to the theatre with different preconceptions.","Wir kamen alle mit unterschiedlichen vorgefassten Meinungen ins Theater."
formen,to shape,"He wrote a book about how humans have shaped the landscape.","Er schrieb ein Buch darüber, wie Menschen die Landschaft geformt haben."
misstrauisch,wary,"He seemed wary of taking any risks.","Er schien misstrauisch zu sein, irgendwelche Risiken einzugehen."
sorglos,carefree,"Since he retired he's lived a carefree existence.","Seit er im Ruhestand ist, führt er ein sorgloses Leben."
die Checkliste,checklist,"We only went there because it was on Sarah's checklist.","Wir sind nur dorthin gegangen, weil es auf Sarahs Checkliste stand."
in den Tag hineinleben,day by day,"He just took life day by day.","Er lebte einfach in den Tag hinein."
die Störung,disruption,"There's been disruption on the railways due to heavy snow.","Es gab Störungen bei der Bahn wegen starkem Schneefall."
persönlich (von Angesicht zu Angesicht),face to face,"We arranged to meet face to face.","Wir vereinbarten ein persönliches Treffen."
säumen / flankieren,to flank,"The lagoon was flanked by majestic mountains.","Die Lagune wurde von majestätischen Bergen gesäumt."
immer besser werden,to go from strength to strength,"The company has gone from strength to strength since opening the new factory.","Seit der Eröffnung der neuen Fabrik ist das Unternehmen immer besser geworden."
mit etw. einhergehen / Hand in Hand gehen,to go hand in hand,"Her success went hand in hand with the hard work.","Ihr Erfolg ging Hand in Hand mit der harten Arbeit."
